dates,mean,p2.5,p25,p75,p97.5
18/02/22,723.924198250729,570.0857142857143,653.4285714285713,769.2857142857143,984.1142857142855
19/02/22,755.9358600583089,599.1142857142858,688.8571428571429,802.8571428571429,1005.3714285714286
20/02/22,787.871720116618,630.4285714285714,720.4285714285714,840.1428571428572,1029.9428571428573
21/02/22,817.7463556851312,660.5428571428572,750.8571428571429,872.0000000000001,1053.3428571428572
22/02/22,847.5685131195336,684.6857142857143,781.0,906.4285714285718,1076.5142857142857
23/02/22,875.6734693877551,705.5428571428572,812.4285714285716,934.4285714285716,1095.7714285714285
24/02/22,902.9650145772594,730.0285714285715,837.5714285714287,963.1428571428573,1109.5142857142857
25/02/22,929.1137026239065,754.9714285714286,865.7142857142857,987.5714285714289,1115.5142857142855
26/02/22,953.3615160349854,779.8285714285715,894.4285714285713,1008.0,1114.6
27/02/22,975.8221574344022,804.6285714285715,919.2857142857143,1031.142857142857,1117.1714285714286
28/02/22,996.0466472303208,827.3714285714286,944.1428571428571,1048.8571428571427,1126.8857142857144
01/03/22,1013.3381924198251,847.7142857142858,958.1428571428572,1061.0,1140.0285714285715
02/03/22,1027.390670553936,863.9714285714285,977.1428571428572,1077.0,1153.2
03/03/22,1038.8542274052477,877.0857142857143,994.0000000000001,1090.2857142857142,1164.6857142857143
04/03/22,1046.4752186588921,891.8285714285716,1008.2857142857141,1100.1428571428578,1167.7142857142858
05/03/22,1051.7609329446063,908.0857142857145,997.2857142857142,1105.9999999999998,1173.3714285714286
06/03/22,1054.34110787172,918.2571428571431,1009.4285714285713,1110.7142857142856,1179.4857142857145
07/03/22,1056.603498542274,931.2857142857144,994.8571428571429,1117.8571428571427,1186.1142857142859
08/03/22,1058.5685131195335,942.7428571428575,1009.7142857142858,1113.714285714286,1190.0
09/03/22,1062.6180758017492,953.8285714285714,1017.2857142857142,1111.1428571428569,1197.9714285714285
10/03/22,1069.3877551020407,966.0285714285717,1025.0000000000005,1111.1428571428567,1212.9142857142856
11/03/22,1082.9650145772594,985.0,1034.7142857142856,1114.4285714285713,1228.0285714285715
12/03/22,1104.6413994169095,1019.0000000000001,1054.8571428571427,1128.2857142857142,1245.1142857142856
13/03/22,1136.5597667638485,1058.4285714285713,1089.7142857142858,1156.4285714285713,1272.857142857143
14/03/22,1177.7871720116618,1092.7142857142856,1133.2857142857142,1204.1428571428573,1325.742857142857
15/03/22,1230.186588921283,1138.9999999999998,1177.1428571428569,1261.5714285714284,1392.485714285714
16/03/22,1292.2857142857144,1192.1714285714286,1226.2857142857144,1351.0,1470.1999999999998
17/03/22,1363.2886297376092,1242.6857142857143,1289.8571428571431,1415.285714285714,1560.3714285714282
18/03/22,1438.2682215743444,1298.2857142857142,1364.2857142857144,1504.5714285714284,1660.3142857142852
19/03/22,1515.941690962099,1348.4285714285716,1442.0000000000002,1587.1428571428576,1754.5714285714282
20/03/22,1593.1107871720112,1406.5428571428572,1515.8571428571422,1675.8571428571422,1848.199999999999
21/03/22,1669.5072886297373,1468.5714285714287,1593.4285714285716,1770.2857142857147,1913.3142857142852
22/03/22,1739.00583090379,1512.0,1653.2857142857144,1844.8571428571431,1981.3142857142855
23/03/22,1800.3760932944608,1555.9142857142858,1697.571428571429,1911.4285714285716,2040.6285714285711
24/03/22,1851.1399416909624,1586.8571428571431,1748.0000000000005,1945.8571428571431,2079.2571428571428
25/03/22,1891.2099125364434,1613.0857142857144,1786.857142857143,2005.2857142857147,2099.6857142857143
26/03/22,1918.0291545189502,1626.542857142857,1785.0,2035.857142857143,2113.2
27/03/22,1931.0728862973763,1638.6285714285714,1789.571428571429,2052.0,2114.4000000000005
28/03/22,1928.4489795918366,1635.0285714285712,1767.2857142857144,2053.2857142857138,2118.6857142857143
29/03/22,1912.551020408163,1620.857142857143,1730.5714285714287,2044.285714285715,2119.3428571428567
30/03/22,1884.0291545189502,1577.142857142857,1706.2857142857142,2015.4285714285716,2103.1999999999994
31/03/22,1843.4752186588921,1521.7142857142858,1680.7142857142856,1980.2857142857144,2082.8857142857137
01/04/22,1791.8483965014575,1474.6857142857145,1650.7142857142856,1917.8571428571422,2042.6571428571422
02/04/22,1731.1632653061224,1409.7142857142856,1604.0000000000005,1860.571428571428,1985.942857142857
03/04/22,1662.5102040816328,1340.6,1542.7142857142862,1791.8571428571422,1917.9714285714279
04/04/22,1589.1603498542272,1276.4571428571428,1464.5714285714275,1713.2857142857147,1838.1428571428564
05/04/22,1513.2740524781336,1217.5999999999997,1395.1428571428576,1632.9999999999993,1754.314285714285
06/04/22,1436.279883381924,1163.1999999999998,1322.4285714285709,1549.2857142857142,1664.6857142857145
07/04/22,1360.3294460641403,1112.0857142857142,1251.7142857142856,1462.142857142857,1576.4571428571426
08/04/22,1287.9825072886297,1073.9428571428568,1207.7142857142862,1384.8571428571427,1486.6
09/04/22,1219.6938775510205,1025.2571428571425,1151.2857142857144,1296.0,1395.1714285714284
10/04/22,1157.3556851311953,961.3142857142852,1103.285714285715,1216.5714285714291,1308.5428571428558
11/04/22,1099.723032069971,892.4285714285717,1056.4285714285725,1169.5714285714282,1223.4857142857143
12/04/22,1047.6967930029155,825.2285714285715,1008.5714285714291,1118.4285714285722,1198.9714285714288
13/04/22,1000.5102040816327,757.7142857142858,943.2857142857149,1073.8571428571424,1195.2285714285715
14/04/22,957.1807580174927,693.9142857142858,889.4285714285726,1067.0000000000002,1193.8285714285714
15/04/22,915.8396501457726,636.1428571428572,841.857142857144,1048.2857142857142,1186.5714285714284
16/04/22,876.6268221574345,583.5714285714287,795.857142857144,1024.8571428571427,1174.8857142857141
17/04/22,838.5102040816327,536.4857142857144,755.1428571428562,1004.8571428571427,1157.1714285714284
18/04/22,801.860058309038,493.2285714285715,722.4285714285704,979.5714285714286,1135.2571428571428
19/04/22,765.5014577259475,452.3142857142858,685.2857142857133,947.8571428571429,1111.6571428571428
